#TYPE Microsoft.Management.Infrastructure.CimInstance#root/standardcimv2/MSFT_NetFirewallRule
"Name","ID","DisplayName","Group","Enabled","Profile","Platform","Direction","Action","EdgeTraversalPolicy","LSM","PrimaryStatus","Status","EnforcementStatus","PolicyStoreSourceType","Caption","Description","ElementName","InstanceID","CommonName","PolicyKeywords","PolicyDecisionStrategy","PolicyRoles","ConditionListType","CreationClassName","ExecutionStrategy","Mandatory","PolicyRuleName","Priority","RuleUsage","SequencedActions","SystemCreationClassName","SystemName","DisplayGroup","LocalOnlyMapping","LooseSourceMapping","Owner","PackageFamilyName","Platforms","PolicyAppId","PolicyStoreSource","Profiles","RemoteDynamicKeywordAddresses","RuleGroup","StatusCode","PSComputerName"
"NETDIS-UPnPHost-Out-TCP","NETDIS-UPnPHost-Out-TCP","????? ?????? (UPnP-?????)","@FirewallAPI.dll,-32752","False","Public","System.String[]","Outbound","Allow","Block","False","OK","??????? ??????? ?????????????? ?? ???????. (65536)","NotApplicable","Local",,"??????? ??????? ??? ?????? ?????? ??????, ??? ???????? ???????????? ????????????? ????????? Plug and Play. [TCP]","@FirewallAPI.dll,-32765","NETDIS-UPnPHost-Out-TCP",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-UPnPHost-Out-TCP","2",,"",,,"3","","","????? ??????","False","False",,,"System.String[]",,"PersistentStore","4","System.String[]","@FirewallAPI.dll,-32752","65536",
"WFDPRINT-SPOOL-Out-Active","WFDPRINT-SPOOL-Out-Active","???????????? ??????? Wi-Fi Direct (???????)","@FirewallAPI.dll,-36851","True","Public","System.String[]","Outbound","Allow","Block","False","OK","??????? ??????? ?????????????? ?? ???????. (65536)","NotApplicable","Local",,"??????? ??????? ??? ???????????? ????????? WSD ? ??????? Wi-Fi Direct.","@FirewallAPI.dll,-36858","WFDPRINT-SPOOL-Out-Active",,,"2",,"3","MSFT|FW|FirewallRule|WFDPRINT-SPOOL-Out-Active","2",,"",,,"3","","","????????? ????????? ???????? Wi-Fi Direct","False","False",,,"System.String[]",,"PersistentStore","4","System.String[]","@FirewallAPI.dll,-36851","65536",
"RemoteAssistance-Out-TCP","RemoteAssistance-Out-TCP","????????? ???????? (TCP-?????)","@FirewallAPI.dll,-33002","False","Public","System.String[]","Outbound","Allow","Block","False","OK","??????? ??????? ?????????????? ?? ???????. (65536)","NotApplicable","Local",,"??????? ??????? ??? ??????? ?????????? ????????. [TCP]","@FirewallAPI.dll,-33007","RemoteAssistance-Out-TCP",,,"2",,"3","MSFT|FW|FirewallRule|RemoteAssistance-Out-TCP","2",,"",,,"3","","","????????? ????????","False","False",,,"System.String[]",,"PersistentStore","4","System.String[]","@FirewallAPI.dll,-33002","65536",
"NETDIS-SSDPSrv-Out-UDP-Active","NETDIS-SSDPSrv-Out-UDP-Active","????? ?????? (SSDP-?????)","@FirewallAPI.dll,-32752","True","Private","System.String[]","Outbound","Allow","Block","False","OK","??????? ??????? ?????????????? ?? ???????. (65536)","NotApplicable","Local",,"??????? ??????? ??? ?????? ?????? ??????, ?? ???????? ???????????? ????????? ?????????? ????????? ?????. [UDP 1900]","@FirewallAPI.dll,-32757","NETDIS-SSDPSrv-Out-UDP-Active",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-SSDPSrv-Out-UDP-Active","2",,"",,,"3","","","????? ??????","False","False",,,"System.String[]",,"PersistentStore","2","System.String[]","@FirewallAPI.dll,-32752","65536",
"NETDIS-WSDEVNT-Out-TCP-Active","NETDIS-WSDEVNT-Out-TCP-Active","????? ?????? (????? WSD-?????)","@FirewallAPI.dll,-32752","True","Private","System.String[]","Outbound","Allow","Block","False","OK","??????? ??????? ?????????????? ?? ???????. (65536)","NotApplicable","Local",,"??????? ??????? ??? ?????? ?????? ??????, ??? ???????? ???????????? ????? WSDAPI ????? ????????? Function Discovery. [TCP 5357]","@FirewallAPI.dll,-32819","NETDIS-WSDEVNT-Out-TCP-Active",,,"2",,"3","MSFT|FW|FirewallRule|NETDIS-WSDEVNT-Out-TCP-Active","2",,"",,,"3","","","????? ??????","False","False",,,"System.String[]",,"PersistentStore","2","System.String[]","@FirewallAPI.dll,-32752","65536",
"RemoteEventLogSvc-NP-In-TCP-NoScope","RemoteEventLogSvc-NP-In-TCP-NoScope","????????? ????????? ???????? ????? (NP-????)","@FirewallAPI.dll,-29252","False","Domain","System.String[]","Inbound","Allow","Block","False","OK","??????? ??????? ?????????????? ?? ???????. (65536)","NotApplicable","Local",,"?????? ???????, ??? ???????? ????????? ???????? ??????? ?????????? ??????? ????? ??? ????? ????????? ??????.","@FirewallAPI.dll,-29257","RemoteEventLogSvc-NP-In-TCP-NoScope",,,"2",,"3","MSFT|FW|FirewallRule|RemoteEventLogSvc-NP-In-TCP-NoScope","2",,"",,,"3","","","????????? ????????? ???????? ?????","False","False",,,"System.String[]",,"PersistentStore","1","System.String[]","@FirewallAPI.dll,-29252","65536",
"RemoteTask-In-TCP-NoScope","RemoteTask-In-TCP-NoScope","????????? ????????? ????????????? ?????????? (RPC)","@FirewallAPI.dll,-33252","False","Domain","System.String[]","Inbound","Allow","Block","False","OK","??????? ??????? ?????????????? ?? ???????. (65536)","NotApplicable","Local",,"?????? ??????? ??? ?????? ????????????? ???????, ??? ???????? ????????? ????????? ????? RPC/TCP.","@FirewallAPI.dll,-33253","RemoteTask-In-TCP-NoScope",,,"2",,"3","MSFT|FW|FirewallRule|RemoteTask-In-TCP-NoScope","2",,"",,,"3","","","????????? ????????? ????????????? ??????????","False","False",,,"System.String[]",,"PersistentStore","1","System.String[]","@FirewallAPI.dll,-33252","65536",
"WFDPRINT-SPOOL-In-Active","WFDPRINT-SPOOL-In-Active","???????????? ??????? Wi-Fi Direct (??????)","@FirewallAPI.dll,-36851","True","Public","System.String[]","Inbound","Allow","Block","False","OK","??????? ??????? ?????????????? ?? ???????. (65536)","NotApplicable","Local",,"?????? ??????? ??? ???????????? ????????? WSD ? ??????? Wi-Fi Direct.","@FirewallAPI.dll,-36856","WFDPRINT-SPOOL-In-Active",,,"2",,"3","MSFT|FW|FirewallRule|WFDPRINT-SPOOL-In-Active","2",,"",,,"3","","","????????? ????????? ???????? Wi-Fi Direct","False","False",,,"System.String[]",,"PersistentStore","4","System.String[]","@FirewallAPI.dll,-36851","65536",
"RemoteAssistance-Out-TCP-Active","RemoteAssistance-Out-TCP-Active","????????? ???????? (TCP-?????)","@FirewallAPI.dll,-33002","True","Domain, Private","System.String[]","Outbound","Allow","Block","False","OK","??????? ??????? ?????????????? ?? ???????. (65536)","NotApplicable","Local",,"??????? ??????? ??? ??????? ?????????? ????????. [TCP]","@FirewallAPI.dll,-33007","RemoteAssistance-Out-TCP-Active",,,"2",,"3","MSFT|FW|FirewallRule|RemoteAssistance-Out-TCP-Active","2",,"",,,"3","","","????????? ????????","False","False",,,"System.String[]",,"PersistentStore","3","System.String[]","@FirewallAPI.dll,-33002","65536",
"MSDTC-Out-TCP","MSDTC-Out-TCP","??????????? ???????????? ?????????? (TCP-?????)","@FirewallAPI.dll,-33502","False","Private, Public","System.String[]","Outbound","Allow","Block","False","OK","??????? ??????? ?????????????? ?? ???????. (65536)","NotApplicable","Local",,"??????? ???????, ??? ???????? ???????????? ???????????? ?????????? ????????? ??????. [TCP]","@FirewallAPI.dll,-33507","MSDTC-Out-TCP",,,"2",,"3","MSFT|FW|FirewallRule|MSDTC-Out-TCP","2",,"",,,"3","","","??????????? ???????????? ??????????","False","False",,,"System.String[]",,"PersistentStore","6","System.String[]","@FirewallAPI.dll,-33502","65536",
